sno,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,Man_of_Match,venue,F_umpire,S_Umpire,
359,2013,Chennai,28/04/13,CSK,KKR,KKR,field,normal,N,CSK,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,SJA Taufel,
360,2013,Raipur,28/04/13,DD,PW,PW,field,normal,N,DD,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium,CK Nandan,S Ravi,
361,2013,Jaipur,29/04/13,RCB,RR,RR,field,normal,N,RR,0,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,
362,2013,Mumbai,29/04/13,MI,KXIP,MI,bat,normal,N,MI,4,0,RG Sharma,Wankhede Stadium,Asad Rauf,AK Chaudhary,
363,2013,Pune,30/04/13,CSK,PW,CSK,bat,normal,N,CSK,37,0,MS Dhoni,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
364,2013,Hyderabad,1/5/2013,MI,SH,MI,bat,normal,N,SH,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
365,2013,Raipur,1/5/2013,KKR,DD,KKR,bat,normal,N,DD,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena,CK Nandan,
366,2013,Chennai,2/5/2013,CSK,KXIP,CSK,bat,normal,N,CSK,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,
367,2013,Pune,2/5/2013,RCB,PW,RCB,bat,normal,N,RCB,17,0,AB de Villiers,Subrata Roy Sahara Stadium,Aleem Dar,C Shamshuddin,
368,2013,Kolkata,3/5/2013,RR,KKR,RR,bat,normal,N,KKR,0,8,YK Pathan,Eden Gardens,HDPK Dharmasena,CK Nandan,
369,2013,Hyderabad,4/5/2013,DD,SH,DD,bat,normal,N,SH,0,6,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
370,2013,Bangalore,14/05/13,RCB,KXIP,KXIP,field,normal,N,KXIP,0,7,AC Gilchrist,M Chinnaswamy Stadium,HDPK Dharmasena,S Ravi,
371,2013,Mumbai,5/5/2013,MI,CSK,MI,bat,normal,N,MI,60,0,MG Johnson,Wankhede Stadium,HDPK Dharmasena,CK Nandan,
372,2013,Jaipur,5/5/2013,PW,RR,PW,bat,normal,N,RR,0,5,AM Rahane,Sawai Mansingh Stadium,C Shamshuddin,RJ Tucker,
373,2013,Bangalore,9/4/2013,SH,RCB,SH,bat,normal,N,RCB,0,7,V Kohli,M Chinnaswamy Stadium,S Ravi,SJA Taufel,
374,2013,Jaipur,7/5/2013,DD,RR,DD,bat,normal,N,RR,0,9,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,RJ Tucker,
